0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,file,labels
31.18105,31.180777,31.183451,31.184547,31.183322,31.185387,31.185571,31.179841,31.183298,31.18205,31.187796,31.191461,31.193463,31.194815,31.194094,31.185948,31.194031,31.19031,31.181802,31.179193,31.186732,31.175655,31.179505,31.176159,31.172638,31.175183,31.175719,31.187036,31.191158,31.191982,31.192126,31.187268,31.182474,31.184939,31.188453,31.187796,31.169477,31.175895,31.17227,31.162282,31.155407,31.156408,31.148044,31.1485,31.14558,31.16233,31.17147,31.164203,31.163114,31.161554,31.163411,31.169765,31.17231,31.162987,31.166164,31.1685,31.16682,31.16341,31.169565,31.166356,31.165028,31.159777,31.168741,31.166532,31.173366,31.175847,31.17824,31.180777,31.181209,31.179417,31.179345,31.169349,feb7,L_Glutamine
31.240977,31.23744,31.227965,31.228068,31.228828,31.216168,31.218497,31.214239,31.217128,31.216976,31.221265,31.223371,31.227868,31.234143,31.233358,31.233726,31.224779,31.213862,31.211822,31.215768,31.217241,31.212782,31.209861,31.210197,31.215535,31.211702,31.208629,31.210685,31.210069,31.216568,31.214423,31.210469,31.210909,31.20562,31.20313,31.200273,31.201506,31.207828,31.197528,31.197921,31.198848,31.195015,31.193871,31.199249,31.195823,31.198337,31.200465,31.201818,31.20117,31.209157,31.203147,31.203467,31.20137,31.193727,31.191085,31.192823,31.190293,31.190638,31.195359,31.194055,31.189853,31.196079,31.195287,31.19612,31.197224,31.196247,31.199633,31.203762,31.203754,31.200617,31.198505,31.200153,feb7,L_Glutamine
31.189661,31.184627,31.183651,31.183411,31.189693,31.191213,31.185923,31.183851,31.18782,31.197239,31.194943,31.191046,31.192903,31.190949,31.19227,31.192502,31.194094,31.190117,31.183347,31.17039,31.168669,31.173439,31.179505,31.19119,31.181498,31.182042,31.177872,31.181513,31.170589,31.182178,31.182666,31.189045,31.181738,31.184194,31.179193,31.173671,31.168341,31.170406,31.17167,31.163858,31.169173,31.170301,31.168925,31.174783,31.176168,31.180145,31.172102,31.182706,31.176503,31.180257,31.175327,31.178521,31.178512,31.172999,31.168164,31.165067,31.172046,31.159385,31.160225,31.161962,31.169685,31.163202,31.170654,31.175904,31.174935,31.170894,31.179857,31.165244,31.173071,31.179786,31.167579,31.176937,feb7,L_Glutamine
31.178809,31.174383,31.172494,31.168765,31.171325,31.175832,31.174599,31.175519,31.183651,31.185227,31.184475,31.184907,31.184715,31.187797,31.192078,31.189444,31.185468,31.182923,31.178689,31.178745,31.181626,31.16798,31.168316,31.176016,31.169773,31.176936,31.187884,31.178296,31.168397,31.186211,31.173278,31.179185,31.180361,31.18325,31.179393,31.170358,31.160513,31.162362,31.158305,31.152382,31.157832,31.157153,31.158897,31.146772,31.168196,31.175063,31.174511,31.17764,31.180377,31.180609,31.178688,31.170797,31.170102,31.159081,31.173447,31.165499,31.16698,31.162426,31.166148,31.162698,31.166508,31.166451,31.171669,31.178041,31.180785,31.180762,31.183714,31.180041,31.180273,31.181002,31.180345,31.179785,feb7,L_Glutamine
31.201698,31.198313,31.199449,31.203298,31.195623,31.194847,31.201762,31.201946,31.201121,31.203075,31.206923,31.204547,31.210373,31.203746,31.204027,31.200994,31.203538,31.198256,31.195791,31.195696,31.188549,31.190325,31.183651,31.185163,31.186148,31.187548,31.186908,31.187084,31.189293,31.192862,31.193871,31.193343,31.194615,31.19339,31.190829,31.180474,31.183602,31.180578,31.176591,31.177216,31.173174,31.174423,31.167212,31.173238,31.176784,31.17772,31.186796,31.185491,31.188237,31.184259,31.18842,31.188508,31.185451,31.184499,31.185836,31.179729,31.174991,31.174911,31.180986,31.173766,31.173335,31.184651,31.175944,31.175463,31.184179,31.184139,31.178176,31.186564,31.186012,31.19355,31.19131,31.19127,feb7,L_Glutamine
31.324027,31.333119,31.314208,31.334807,31.336912,31.319921,31.333623,31.348597,31.360954,31.341186,31.349077,31.362274,31.366964,31.348436,31.323859,31.309493,31.3083,31.311822,31.314367,31.306123,31.292878,31.291542,31.281234,31.281674,31.273654,31.279593,31.269108,31.286668,31.264275,31.279841,31.290381,31.294679,31.290509,31.281442,31.283978,31.264643,31.269805,31.263082,31.240265,31.243074,31.245588,31.249853,31.258288,31.258649,31.250654,31.262362,31.269269,31.280137,31.281202,31.263187,31.275175,31.274984,31.287356,31.290125,31.279393,31.264555,31.274135,31.276985,31.292366,31.28766,31.285923,31.308749,31.289845,31.297473,31.289173,31.294078,31.299217,31.284764,31.296008,31.329269,31.312918,31.304627,feb7,L_Arginine
31.344299,31.312294,31.287741,31.264955,31.290741,31.281146,31.292222,31.306716,31.291806,31.307804,31.312951,31.308733,31.306403,31.30614,31.328061,31.313511,31.305139,31.275152,31.292103,31.290974,31.29159,31.296192,31.275071,31.270485,31.2869,31.270958,31.264443,31.286476,31.296032,31.299489,31.295015,31.310341,31.299657,31.299777,31.271406,31.257728,31.262498,31.255655,31.242899,31.265515,31.270189,31.254086,31.256272,31.270598,31.280737,31.275423,31.297129,31.292326,31.288628,31.309085,31.320786,31.302786,31.313263,31.319633,31.329757,31.32995,31.302034,31.296128,31.297304,31.289573,31.294687,31.299449,31.295824,31.316576,31.309349,31.31203,31.310261,31.307148,31.320153,31.328133,31.349261,31.301674,feb7,L_Arginine
31.392686,31.373031,31.365476,31.379464,31.375623,31.378753,31.360689,31.382594,31.38109,31.379769,31.391229,31.366284,31.397392,31.395704,31.386267,31.345971,31.317184,31.322242,31.314159,31.292374,31.28782,31.291102,31.301641,31.299169,31.292486,31.293206,31.302667,31.31223,31.299048,31.328084,31.333822,31.286235,31.313935,31.309949,31.29664,31.287829,31.270421,31.26746,31.253527,31.246516,31.257432,31.251822,31.256224,31.269421,31.266644,31.2673,31.270181,31.275967,31.299672,31.307781,31.299385,31.304699,31.306332,31.279922,31.296816,31.293015,31.270757,31.290789,31.2772,31.287604,31.294967,31.285428,31.290557,31.290494,31.282786,31.298481,31.289733,31.315991,31.318601,31.330709,31.341482,31.321073,feb7,L_Arginine
31.309757,31.322738,31.309845,31.31111,31.32309,31.297825,31.303106,31.311285,31.327244,31.30614,31.322034,31.336912,31.307164,31.31796,31.318689,31.343346,31.334543,31.340481,31.349149,31.368028,31.332462,31.343826,31.334671,31.322386,31.316416,31.31047,31.305115,31.321226,31.309933,31.317976,31.303082,31.308164,31.314943,31.313567,31.290702,31.275775,31.271526,31.272982,31.266676,31.255648,31.250741,31.261274,31.264363,31.273295,31.270245,31.305075,31.293135,31.292014,31.298913,31.292005,31.310998,31.291782,31.29255,31.292974,31.284019,31.283346,31.268068,31.274478,31.27099,31.269693,31.269277,31.276311,31.279585,31.293647,31.311622,31.292366,31.289013,31.297736,31.296311,31.293967,31.320817,31.315223,feb7,L_Arginine
31.592983,31.594519,31.591237,31.595064,31.593054,31.595767,31.595263,31.596671,31.590893,31.592654,31.595551,31.60081,31.595047,31.601458,31.596945,31.600873,31.596816,31.59716,31.59291,31.595696,31.589853,31.589629,31.591638,31.58602,31.589334,31.586956,31.593999,31.588357,31.587788,31.588085,31.588557,31.588236,31.590605,31.590069,31.596015,31.592399,31.583922,31.583962,31.581682,31.579433,31.578024,31.583539,31.580257,31.583042,31.591902,31.590429,31.596568,31.596175,31.599,31.597512,31.599801,31.60113,31.595151,31.599377,31.598352,31.602394,31.603411,31.604482,31.601257,31.602314,31.598112,31.597448,31.594703,31.601794,31.603226,31.600585,31.595744,31.599649,31.598473,31.599545,31.598016,31.599161,feb7,L_Serine
31.594118,31.594087,31.595488,31.594911,31.590829,31.594774,31.596088,31.594423,31.598049,31.598024,31.59696,31.600801,31.603426,31.600866,31.600457,31.603658,31.600849,31.600513,31.591886,31.59187,31.596824,31.594423,31.587164,31.594743,31.591246,31.584644,31.586788,31.591542,31.585819,31.587157,31.586772,31.585771,31.587157,31.586195,31.581889,31.576576,31.570501,31.57143,31.567052,31.570053,31.569397,31.583002,31.570837,31.583722,31.580905,31.589589,31.591486,31.587724,31.595207,31.589621,31.587852,31.58574,31.58009,31.581986,31.579601,31.573686,31.570397,31.582162,31.582955,31.58702,31.593422,31.591958,31.594439,31.593087,31.592631,31.594919,31.599449,31.600698,31.599529,31.599841,31.599809,31.600233,feb7,L_Serine
29.9461,29.941483,29.92237,29.929757,29.93203,29.931718,29.930101,29.91708,29.924539,29.925203,29.90806,29.929237,29.942778,29.93271,29.925796,29.924507,29.908212,29.895463,29.922635,29.903675,29.881938,29.86193,29.855463,29.84706,29.865331,29.873238,29.860305,29.876824,29.885955,29.87632,29.905796,29.891462,29.901209,29.889237,29.883355,29.878344,29.842002,29.820505,29.804155,29.804691,29.795199,29.794351,29.823291,29.823586,29.871773,29.880201,29.903642,29.924556,29.916592,29.915167,29.926804,29.911894,29.922114,29.920657,29.911405,29.91788,29.914007,29.927036,29.913999,29.91363,29.91816,29.935063,29.924195,29.924156,29.94762,29.927972,29.950941,29.940538,29.946684,29.947804,29.951606,29.94674,feb7,L_Histidine
31.31163,31.309757,31.286668,31.289661,31.295688,31.33151,31.318313,31.3069,31.309237,31.323971,31.33788,31.338001,31.346996,31.342946,31.329861,31.326956,31.307084,31.30698,31.302314,31.289869,31.271446,31.284171,31.271222,31.270646,31.269774,31.275383,31.288701,31.279729,31.276447,31.278521,31.292126,31.289509,31.280833,31.307965,31.290717,31.286036,31.269661,31.257576,31.255199,31.256728,31.267372,31.254839,31.266756,31.270317,31.275599,31.286316,31.29832,31.282698,31.278641,31.291486,31.293038,31.299473,31.287124,31.284091,31.288836,31.278369,31.264387,31.266804,31.279545,31.284948,31.271958,31.267772,31.288581,31.300649,31.31536,31.311991,31.343138,31.329333,31.328837,31.311262,31.340009,31.329973,feb7,L_Arginine
